@relation 'DWA_MasterList_With_Band_Number_And_Coordinates (1)'

@attribute Region {Quebec,Ontario,Atlantic,Saskatchewan,Pacific}
@attribute 'System Type' {PWS,SPWS,'Bottle fill'}
@attribute 'Advisory Type' numeric
@attribute 'Advisory Reasons' numeric

@data
Quebec,PWS,1,4
Ontario,SPWS,1,5
Ontario,PWS,1,4
Ontario,SPWS,3,4
Atlantic,PWS,1,3
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Ontario,SPWS,1,1
Ontario,SPWS,1,6
Ontario,SPWS,1,2
Pacific,PWS,1,4
Pacific,PWS,1,4
Pacific,PWS,1,4
Ontario,SPWS,1,1
Ontario,SPWS,1,1
Ontario,SPWS,1,2
Pacific,PWS,1,4
Ontario,PWS,1,6
Ontario,PWS,1,4
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,SPWS,1,5
Ontario,SPWS,1,4
Pacific,PWS,1,6
Pacific,PWS,3,1
Pacific,PWS,1,4
Ontario,PWS,1,3
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,5
Ontario,PWS,1,6
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,3
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,5
Ontario,PWS,1,6
Ontario,PWS,1,6
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,6
Ontario,SPWS,3,6
Ontario,SPWS,1,3
Ontario,SPWS,1,6
Ontario,PWS,1,3
Ontario,SPWS,1,4
Ontario,SPWS,1,5
Ontario,PWS,1,5
Pacific,PWS,1,4
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,5
Ontario,PWS,1,5
Ontario,PWS,1,5
Ontario,PWS,1,5
Ontario,PWS,1,5
Ontario,PWS,1,3
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,6
Ontario,PWS,1,3
Ontario,PWS,1,3
Atlantic,PWS,3,3
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,2
Ontario,PWS,1,4
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,8
Ontario,PWS,1,6
Ontario,PWS,1,3
Pacific,PWS,1,4
Pacific,PWS,1,3
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,6
Saskatchewan,PWS,1,6
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,8
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,1
Saskatchewan,PWS,1,6
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,8
Pacific,PWS,1,1
Pacific,PWS,1,1
Saskatchewan,'Bottle fill',3,4
Saskatchewan,'Bottle fill',1,4
Pacific,PWS,1,5
Pacific,PWS,1,5
Pacific,PWS,1,5
Pacific,PWS,1,5
Pacific,PWS,1,8
Pacific,PWS,1,4
Ontario,PWS,1,3
Atlantic,PWS,1,4
Atlantic,PWS,1,4
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,6
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,6
Atlantic,PWS,1,3
Ontario,SPWS,1,4
Pacific,PWS,1,4
Pacific,PWS,1,4
Pacific,PWS,1,4
Pacific,PWS,1,3
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,1
Saskatchewan,PWS,1,1
Saskatchewan,PWS,1,5
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,8
Ontario,PWS,1,2
Ontario,PWS,1,5
Saskatchewan,PWS,1,3
Saskatchewan,PWS,1,2
Saskatchewan,PWS,1,1
Ontario,PWS,1,2
Ontario,PWS,1,3
Ontario,PWS,1,2
Ontario,PWS,1,5
Ontario,PWS,1,5
Ontario,PWS,1,2
Ontario,PWS,1,2
